epoch,loss,val_loss
0,0.2731364253205019,0.05652986310030285
1,0.044944692816112186,0.020462864470717154
2,0.026565674136708115,0.016998822335153818
3,0.01956437766557644,0.021843746353529002
4,0.02042480497388852,0.016164343657070084
5,0.014455448420743103,0.022230934045326552
6,0.013067156562523673,0.015670699710761637
7,0.012717065113869103,0.027796811485466987
8,0.012868997032806435,0.019113477147919566
9,0.011361368621424086,0.02152314935320694
10,0.011073465979621932,0.0170947978469102
11,0.011942879902209415,0.01687085523735732
12,0.01124752543825352,0.022053271109287283
