epoch,loss,val_loss
0,0.44359827782482264,0.3411470996706109
1,0.3446201869489752,0.24989134465393267
2,0.23417676087093225,0.16105994739030538
3,0.13810566452913997,0.0926668475333013
4,0.08585639000560827,0.055538700991555265
5,0.06015960616537553,0.04215764979782857
6,0.04708915445537632,0.03263026750401447
7,0.03900062076002864,0.03327795784724386
8,0.033446741173791344,0.02503126197935719
9,0.02993123305525766,0.027213798002584985
10,0.02668077046311711,0.02108134167562974
11,0.02483031634403531,0.021329592888880717
12,0.02329361224460892,0.01824275012079038
13,0.021671286741464478,0.022453815210610628
14,0.02100376551634698,0.01791273753501867
15,0.018941180904272135,0.01968205301091075
16,0.017958955005855006,0.019176216207836803
17,0.017326193792439163,0.01567773321202319
18,0.0165382231681902,0.018904323297503748
19,0.015477824022755205,0.016470362910216575
20,0.014921039821829638,0.017194347039453294
21,0.014719680692545083,0.016946423296375496
22,0.013789870443981004,0.016758426656260303
23,0.013653329958191308,0.01905035207930364
