epoch,loss,val_loss
0,1297404.2039674036,1418441.2553453948
1,1278777.469278705,1384844.3314144737
2,1246980.1001931536,1363750.0629111843
3,1217988.3457767032,1364157.4194078948
4,1162279.5273411064,1378038.3363486843
5,1029306.0058933003,1430580.6792763157
6,815134.9859505414,1475496.730263158
7,620732.1984582958,1457318.6463815789
8,495847.4611225468,1457997.2532894737
