epoch,loss,val_loss
0,0.4396622390018853,0.3212488607356423
1,0.30390020700399745,0.19198780702917198
2,0.1628906388611388,0.10224060831885588
3,0.09100466715951362,0.06655127574738703
4,0.06582098044312192,0.04719872027635574
5,0.05274969893836448,0.04179878876005348
6,0.04639877992609258,0.03693732707516143
7,0.04218330622616859,0.0404740346497611
8,0.03879129587503109,0.033863928561147894
9,0.036894278992837204,0.0352210891678145
10,0.03461775565030423,0.0327153280377388
11,0.033484126286765614,0.033215014165953585
12,0.032808652609425365,0.030058494720019792
13,0.031120814603202745,0.03610592766811973
14,0.030678304689189476,0.032798576609868756
15,0.029164431450273795,0.031249890986241792
16,0.028286425630838694,0.032498734365952645
17,0.02784218873594191,0.02834247219327249
18,0.028132072323208437,0.03368182803847288
19,0.026808579060100497,0.03012717632870925
20,0.0263055928384252,0.029512953111215642
21,0.026491318898896936,0.02886589351845415
22,0.02546615941887404,0.03037869596951886
23,0.025527088787972243,0.03164289254499109
