mrna_crosswalk,py_index
ENSG00000144218,289
ENSG00000170500,290
ENSG00000071054,291
ENSG00000198914,292
ENSG00000135974,293
ENSG00000071051,294
ENSG00000144063,295
ENSG00000169679,296
ENSG00000188177,297
ENSG00000125611,298
ENSG00000169607,299
ENSG00000144134,300
ENSG00000163064,301
ENSG00000019169,302
ENSG00000115109,303
ENSG00000136717,304
ENSG00000152076,305
ENSG00000136002,306
ENSG00000163040,307
ENSG00000224559,308
ENSG00000197927,309
ENSG00000150551,310
ENSG00000115839,311
ENSG00000144228,312
ENSG00000115919,313
ENSG00000121964,314
ENSG00000168280,315
ENSG00000150556,316
ENSG00000187123,317
ENSG00000123609,318
ENSG00000115145,319
ENSG00000157827,320
ENSG00000153234,321
ENSG00000115165,322
ENSG00000204380,323
ENSG00000241399,324
ENSG00000054219,325
ENSG00000136560,326
ENSG00000198648,327
ENSG00000172292,328
ENSG00000163072,329
ENSG00000163093,330
ENSG00000144362,331
ENSG00000071967,332
ENSG00000144354,333
ENSG00000163364,334
ENSG00000196659,335
ENSG00000197557,336
ENSG00000170035,337
ENSG00000115232,338
ENSG00000115252,339
ENSG00000144369,340
ENSG00000003436,341
ENSG00000151687,342
ENSG00000189362,343
ENSG00000115419,344
ENSG00000173559,345
ENSG00000081320,346
ENSG00000115520,347
ENSG00000226124,348
ENSG00000082146,349
ENSG00000155760,350
ENSG00000138380,351
ENSG00000116117,352
ENSG00000138400,353
ENSG00000178385,354
ENSG00000078018,355
ENSG00000178568,356
ENSG00000118242,357
ENSG00000115556,358
ENSG00000163481,359
ENSG00000163482,360
ENSG00000135912,361
ENSG00000115661,362
ENSG00000072195,363
ENSG00000169047,364
ENSG00000153832,365
ENSG00000077044,366
ENSG00000188042,367
ENSG00000115648,368
ENSG00000124839,369
ENSG00000132326,370
ENSG00000204104,371
ENSG00000180902,372
ENSG00000150995,373
ENSG00000134107,374
ENSG00000114026,375
ENSG00000134072,376
ENSG00000171148,377
ENSG00000163704,378
ENSG00000125037,379
ENSG00000132164,380
ENSG00000170876,381
ENSG00000077092,382
ENSG00000152642,383
ENSG00000153551,384
ENSG00000153558,385
ENSG00000144681,386
ENSG00000114739,387
ENSG00000177873,388
ENSG00000182606,389
ENSG00000114812,390
ENSG00000196345,391
ENSG00000163808,392
ENSG00000163814,393
ENSG00000249992,394
ENSG00000163820,395
ENSG00000172215,396
ENSG00000160791,397
ENSG00000164045,398
ENSG00000213689,399
ENSG00000178537,400
ENSG00000173531,401
ENSG00000164068,402
ENSG00000001617,403
ENSG00000004838,404
ENSG00000041880,405
ENSG00000164086,406
ENSG00000114902,407
ENSG00000168301,408
ENSG00000168306,409
ENSG00000168309,410
ENSG00000114405,411
ENSG00000144749,412
ENSG00000163378,413
ENSG00000114861,414
ENSG00000114480,415
ENSG00000064225,416
ENSG00000057019,417
ENSG00000181458,418
ENSG00000154175,419
ENSG00000170017,420
ENSG00000114423,421
ENSG00000198919,422
ENSG00000153283,423
ENSG00000114529,424
ENSG00000091972,425
ENSG00000163607,426
ENSG00000144857,427
ENSG00000072858,428
ENSG00000121579,429
ENSG00000178075,430
ENSG00000031081,431
ENSG00000180353,432
ENSG00000173230,433
ENSG00000065534,434
ENSG00000065371,435
ENSG00000160145,436
ENSG00000221955,437
ENSG00000114547,438
ENSG00000163884,439
ENSG00000197763,440
ENSG00000198585,441
ENSG00000154928,442
ENSG00000158186,443
ENSG00000248932,444
ENSG00000114115,445
ENSG00000163864,446
ENSG00000158258,447
ENSG00000175093,448
ENSG00000163710,449
ENSG00000152952,450
ENSG00000152977,451
ENSG00000163751,452
ENSG00000047457,453
ENSG00000244468,454
ENSG00000018408,455
ENSG00000244265,456
ENSG00000152601,457
ENSG00000114805,458
ENSG00000163659,459
ENSG00000163661,460
ENSG00000174899,461
ENSG00000118849,462
ENSG00000151967,463
ENSG00000163536,464
ENSG00000085276,465
ENSG00000173890,466
ENSG00000075420,467
ENSG00000228221,468
ENSG00000228561,469
ENSG00000242539,470
ENSG00000114450,471
ENSG00000145075,472
ENSG00000205981,473
ENSG00000176597,474
ENSG00000172578,475
ENSG00000163872,476
ENSG00000090539,477
ENSG00000182580,478
ENSG00000163923,479
ENSG00000188001,480
ENSG00000090530,481
ENSG00000163347,482
ENSG00000131127,483
ENSG00000182903,484
ENSG00000215375,485
ENSG00000168993,486
ENSG00000178950,487
ENSG00000145214,488
ENSG00000127415,489
ENSG00000163945,490
ENSG00000168936,491
ENSG00000068078,492
ENSG00000168924,493
ENSG00000185049,494
ENSG00000243449,495
ENSG00000130997,496
ENSG00000063978,497
ENSG00000109736,498
ENSG00000132406,499
ENSG00000109501,500
ENSG00000013288,501
ENSG00000179010,502
ENSG00000251580,503
ENSG00000178988,504
ENSG00000186222,505
ENSG00000170871,506
ENSG00000132405,507
ENSG00000173011,508
ENSG00000087008,509
ENSG00000157869,510
ENSG00000137449,511
ENSG00000118564,512
ENSG00000007062,513
ENSG00000169762,514
ENSG00000151552,515
ENSG00000163257,516
ENSG00000157765,517
ENSG00000091490,518
ENSG00000109680,519
ENSG00000154274,520
ENSG00000181826,521
ENSG00000065882,522
ENSG00000157796,523
ENSG00000121897,524
ENSG00000109814,525
ENSG00000163683,526
ENSG00000168421,527
ENSG00000174343,528
ENSG00000154277,529
ENSG00000124406,530
ENSG00000151806,531
ENSG00000163281,532
ENSG00000145246,533
ENSG00000109180,534
ENSG00000109220,535
ENSG00000134853,536
ENSG00000145241,537
ENSG00000018189,538
ENSG00000163626,539
ENSG00000163738,540
ENSG00000109321,541
ENSG00000156219,542
ENSG00000169245,543
ENSG00000169248,544
ENSG00000189157,545
ENSG00000138771,546
ENSG00000138764,547
ENSG00000138670,548
ENSG00000163624,549
ENSG00000163625,550
ENSG00000163629,551
ENSG00000138640,552
ENSG00000180346,553
ENSG00000184305,554
ENSG00000138696,555
ENSG00000196616,556
ENSG00000070190,557
ENSG00000168772,558
ENSG00000236699,559
ENSG00000168743,560
ENSG00000138801,561
ENSG00000198856,562
ENSG00000005059,563
ENSG00000123739,564
ENSG00000109534,565
ENSG00000174749,566
ENSG00000145362,567
ENSG00000174607,568
ENSG00000172403,569
ENSG00000138735,570
ENSG00000151458,571
ENSG00000164066,572
ENSG00000085871,573
ENSG00000153132,574
ENSG00000179387,575
ENSG00000109436,576
ENSG00000170153,577
ENSG00000109452,578
ENSG00000198589,579
ENSG00000109654,580
ENSG00000121211,581
ENSG00000137462,582
ENSG00000164114,583
ENSG00000109738,584
ENSG00000164125,585
ENSG00000248429,586
ENSG00000170088,587
ENSG00000109472,588
ENSG00000145439,589
ENSG00000198948,590
ENSG00000109586,591
ENSG00000164106,592
ENSG00000164117,593
ENSG00000164118,594
ENSG00000164120,595
ENSG00000151725,596
ENSG00000154553,597
ENSG00000083857,598
ENSG00000249430,599
ENSG00000153404,600
ENSG00000028310,601
ENSG00000170549,602
ENSG00000145545,603
ENSG00000164237,604
ENSG00000169862,605
ENSG00000154124,606
ENSG00000154122,607
ENSG00000183580,608
ENSG00000154153,609
ENSG00000133401,610
ENSG00000113384,611
ENSG00000113387,612
ENSG00000113389,613
ENSG00000164187,614
ENSG00000145604,615
ENSG00000164327,616
ENSG00000171522,617
ENSG00000112936,618
ENSG00000083720,619
ENSG00000151876,620
ENSG00000250722,621
ENSG00000251141,622
ENSG00000248779,623
ENSG00000112996,624
ENSG00000164283,625
ENSG00000067248,626
ENSG00000134352,627
ENSG00000113448,628
