epoch,loss,val_loss
0,1.578422582017738,1.4216609001159668
1,1.3297656991802864,1.2677167340328819
2,1.2200388331836,1.1987025863245915
3,1.1604142575185454,1.1544322277370251
4,1.117772711256463,1.1219380654786761
5,1.0832441680027458,1.099252042017485
6,1.0568732221159365,1.0816395157261898
7,1.0363393841278141,1.0662053948954533
8,1.016164861143832,1.05968681762093
9,0.998172247259229,1.059842194381513
10,0.9845561014592124,1.0604225397109985
11,0.9676562648526223,1.0689157341655933
12,0.9506980658599385,1.080357921750922
13,0.9383259058509592,1.0851416023154008
14,0.9284802403375793,1.0888713974701731
