epoch,loss,val_loss
0,0.459364272000261,0.3647660440520236
1,0.3836549166703423,0.3041388047368903
2,0.31313275625333004,0.24102401341262616
3,0.23404834242846448,0.17225003791482826
4,0.16563560028270327,0.11665700493674529
5,0.11675406023843171,0.08354367864759345
6,0.08625602517289607,0.06564030796289444
7,0.0681792452591901,0.05362424587732867
8,0.05684537111371655,0.039052646116990795
9,0.04834387188253367,0.03860779214454325
10,0.042198438316704646,0.03080002414552789
11,0.03855958158272587,0.03021571461699511
12,0.034555438987888897,0.02739041926045167
13,0.03207333504098171,0.024741836774506067
14,0.03001555762916111,0.023547352340660598
15,0.027675925174376347,0.021771146425683247
16,0.02575108817466126,0.019919266997787514
17,0.02451998487824165,0.021558891173060004
18,0.02314336766704611,0.018253279898903872
19,0.02244617268911605,0.019833030326193886
20,0.021561471258386544,0.019625074671287285
21,0.020661122154485633,0.017846159048770602
22,0.01923747697457278,0.018232659338728377
23,0.019115236239075434,0.01717549148260763
24,0.018252377402408818,0.01780679444537351
25,0.01736570917470761,0.01728766498548028
26,0.016739078711263688,0.015898970029267826
27,0.01639410644473864,0.018431773176416755
28,0.015569448440606495,0.020291953396640326
29,0.01590810055560236,0.02088395142192511
30,0.015033602880193401,0.015664450701718267
31,0.014495105130319371,0.01802287280167404
32,0.01385769276171099,0.01622457510644668
33,0.013712346210307699,0.017857535950545417
34,0.013386181082989126,0.017027054153578847
35,0.01314392238753469,0.014360548168616859
36,0.01354578815584638,0.01640560317441429
37,0.012813592604417149,0.01725473123798637
38,0.012956180342897678,0.015217266639841623
39,0.012007096996511982,0.020971971147350575
40,0.01191990690849118,0.015406995711505021
41,0.012060846764430028,0.017668144556840782
