id	filename	md5	size	state
000cf9c6-1373-4fb0-b759-5fd8c3799030	b9e7b7b5-54e8-4459-8a21-ea3472b013d7.FPKM-UQ.txt.gz	6d41923b59f979df27888573ecaf8eaf	507805	live
00156c51-2686-4736-88c1-c30c81ec0a12	2807d45f-9e15-4e06-8336-de7295fc7509.htseq.counts.gz	dd08cd38f41acda8d3ad72524988ae70	254070	live
001fe63b-06c8-4ca1-861a-3d1dd0fdf5fc	b4474f7c-f371-4ecb-8c2f-cd7b5d5d243b.htseq.counts.gz	557f5c3102e7c7309bb43687735756cb	254519	live
002aa584-7dd3-4c62-952b-b24e5858482b	a5dc521e-bee4-489c-8679-d4b90a327d33.FPKM.txt.gz	839d136d56f0ce9c3965a677ba3c4b2b	528468	live
002c6f93-606c-4d4a-855a-aaf52b035c29	6d27be54-6210-431e-b460-247587c5ab8d.htseq.counts.gz	39112088d74995e10b4313855180d06b	254255	live
002c7ead-0e16-4a3f-ae29-5ffcfdcd2e3a	c45fe186-f0ba-4017-a8f6-a511c1b000eb.htseq.counts.gz	8fada0020d5ccd1a03fade4d4f1bbb86	256287	live
0031a3d3-b319-4109-9155-52cbb67b05cc	1287d36a-6a27-4e4e-a2f7-51727ac3cc0e.FPKM-UQ.txt.gz	06e8a768638e2566223cd5144d43af73	529346	live
00331c0a-23f0-4724-9c0f-5e37f971f26f	b2a6c9e3-65eb-43bd-849a-5829007379ab.htseq.counts.gz	19ae8fda8cd34b2017d32ceb60362b4e	259013	live
0039181f-544b-4ee6-8d6b-ea9daf1adfe0	d229a59b-4f6c-4714-8dd5-1c714a764b22.FPKM.txt.gz	d401e9cb1812210e1692f83df95277ba	530904	live
003bf5f9-48dd-4910-9f87-21409e9e258d	ee05eaa6-eaca-4438-ac1f-4259f525e2a1.FPKM.txt.gz	b95daaae8fa17934902de6423b3a7f28	531353	live
00575a83-e5a0-4614-b5fb-70e524ae68d9	4bf2bea7-00ef-485c-b9e5-035f0ea62b1d.FPKM.txt.gz	fa9b71a71ea264ddd180af6cdd6f2540	515620	live
0077ddf1-c0ed-485e-87b2-a7f3a7133a86	dfe06359-c16a-4959-bb04-298f18474a17.htseq.counts.gz	db0b72ccdf652045a27089049cc4a3d4	257412	live
009702aa-2c36-4a88-916d-13e185473922	31e5c917-1866-4156-9eaa-84a72c310edc.FPKM.txt.gz	c34874b5a90b171ad8260c7f9bdbf9b0	501128	live
009c9538-c163-4b0a-8309-21a3afac9731	d6f019d0-dca0-48e7-9936-ae27b69a3c57.FPKM-UQ.txt.gz	9edb63102b7dbb833eb379d8cea071e6	532241	live
00a9fc98-9f19-4a73-ae62-048fd7923b66	e30e547e-eeff-4a1f-829b-b6ec9e79f02a.htseq.counts.gz	dba6382b9b6dbc61d7d8ae47ee1e8db9	252723	live
00ae19b2-33b1-443e-88c6-aad3826a2c9b	257b1c80-203b-4cf0-9841-5a1242299270.FPKM.txt.gz	90a6406bc5e603623bd4cb9c5061885c	527716	live
00af6745-18ba-4c18-9b9e-95e79d5915b8	02759563-fa2b-4d96-ab78-dd7fee7513d4.htseq.counts.gz	d72d0743bd8db63a20dc215ec9e0298f	247608	live
00c05634-5eb9-4555-885c-4b24cfc0c8fa	d8fea32d-3ef0-4d7b-8b3e-7619ec2ad987.htseq.counts.gz	ae8b573c27c19d7a5580398c0964fa31	250213	live
00ea1e0e-85f8-4903-bc87-98167d07fb34	171a4828-984e-4225-b16c-c0bd6c319e06.htseq.counts.gz	5483f4886087e5023e5b2b5047324519	252463	live
0105c969-4977-4900-ab58-f0088011273d	3ab0577a-0d95-4f3b-9ec8-850820c5ecb3.FPKM-UQ.txt.gz	4d0663c2acc0655ef689f2c0e4a5d53c	528441	live
01181f27-b844-46b8-822d-77d35eda1081	01a1c77a-3f93-4561-a079-c771ac054f56.FPKM-UQ.txt.gz	df76b1ac74f2f669581895855dfebafa	549515	live
012fac1a-bf8d-40e6-b1c1-cf801ef7bdba	8e5a3c88-35f5-4620-86d7-53c014a2687b.FPKM-UQ.txt.gz	5b312d41c26140e03a5cd2b18e4b590b	533916	live
01543acc-2ec7-4a07-bcdf-c2de83b72965	c64c76e7-635c-458e-a032-07775aeb03d9.htseq.counts.gz	ef3d2f6f07bde0c32c008b54d4c7fe6c	257434	live
0159c48c-7201-4836-8418-9eab6e8251b2	2aed8d9f-0c7c-4afc-b3dd-8b15749bd857.FPKM.txt.gz	841db2e8f313c16de0567c65d3766155	528918	live
0168550b-f361-49e2-832e-913e9e783240	2eeb46a1-0422-4a77-b58d-3b7d57d51b44.htseq.counts.gz	b11432b3e7e9ece3a8a31d84d7ddc693	258320	live
0185339a-8c9c-4310-9a7d-5c647b399eca	3c8923de-0d68-4137-a5d9-657a77cac893.FPKM-UQ.txt.gz	2d09c8ca0096fb2f9a24d811d070c381	532224	live
