4.784316066733300121e-01,5.548261970263145271e-01,6.953005429977339169e-01,9.387041662493127436e-01,1.058837089450389568e+00
4.866215676371371535e-01,5.759792387856459417e-01,7.165818408626940528e-01,8.412265639508258452e-01,1.032748797363975068e+00
4.986570216685340950e-01,5.487551627575273372e-01,6.766658320556587780e-01,8.698162475738645538e-01,1.032767549113782657e+00
5.128528693303987529e-01,5.458854194987368125e-01,6.883005106847130961e-01,8.925541042770080979e-01,1.005694676035990831e+00
5.053606378318309389e-01,6.069332935362179438e-01,7.098370028782796659e-01,8.859504595935446813e-01,1.039728669821408102e+00
4.521588174420265727e-01,5.293373107943549760e-01,7.440251274855272934e-01,8.560038180237845573e-01,1.057249519678972183e+00
4.737525882964555568e-01,5.958837364676004000e-01,7.256788495012084228e-01,9.804173869892022219e-01,1.023642858907517939e+00
4.504049125215698335e-01,5.543415034586319790e-01,7.129967818368119215e-01,9.186693771523835039e-01,1.017435529689185714e+00
4.508244699152816892e-01,5.665325999394034140e-01,7.217585533602928205e-01,9.018960154414018549e-01,1.017583056068664726e+00
4.522082037376000119e-01,5.656850346103866611e-01,7.155693810030523405e-01,8.682189107908153680e-01,1.070379306304382272e+00
