2.391409429624869465e-01,2.138878204475731237e-01,2.001617995432314889e-01,1.948147457289426954e-01,2.052625764658887741e-01
2.115424949230896856e-01,2.008568441732839494e-01,1.993929944334224269e-01,1.842237599334849985e-01,1.909685899526712138e-01
2.068530616118114118e-01,2.202802899409692095e-01,2.105390542747918592e-01,2.010036904843767180e-01,1.857604185174748512e-01
2.165364316237902431e-01,2.442072887581999696e-01,2.067600651851436433e-01,2.167933686664563764e-01,2.032678335086249566e-01
2.052711944844633485e-01,2.209807650499212017e-01,2.220848938040256015e-01,2.237049531081554410e-01,1.833621116509836502e-01
2.228085158786978492e-01,2.176406058247104536e-01,2.280200960644604702e-01,1.963178124885102682e-01,2.217085493099946458e-01
2.185007156499337300e-01,2.249550194330950381e-01,1.958834895483095029e-01,2.029756488164052297e-01,1.902576803268780647e-01
2.341960147504846823e-01,2.099583909840827822e-01,2.029568401807736178e-01,1.985008314272217467e-01,2.029297474772755461e-01
2.218364457569094450e-01,2.051426958323944172e-01,1.964507696749026588e-01,1.992699670429728398e-01,1.833214776904729393e-01
2.265448265157317953e-01,2.203929691029163085e-01,2.044876388539461909e-01,2.035953536685604637e-01,2.025738831427752740e-01
